iter	Logloss
0	0.6893526004
1	0.6860393434
2	0.6829709461
3	0.6791155098
4	0.6756643664
5	0.6718510634
6	0.6685620445
7	0.665296947
8	0.6623661894
9	0.6592578492
10	0.6559605687
11	0.6527933867
12	0.6498696739
13	0.6469667528
14	0.6440293049
15	0.6413016037
16	0.6384320352
17	0.6355572027
18	0.6327884784
19	0.6298946398
20	0.6270364471
21	0.6243095632
22	0.6218932191
23	0.6194542917
24	0.6164292693
25	0.6141904787
26	0.6119452722
27	0.6093369837
28	0.6068645203
29	0.6043436586
30	0.6014555846
31	0.5990946553
32	0.5963362912
33	0.5941993803
34	0.5920938749
35	0.5897507043
36	0.5876972688
37	0.5853538514
38	0.583191698
39	0.5812837882
40	0.5793918266
41	0.5774825961
42	0.5752190418
43	0.5731349274
44	0.5710008407
45	0.5687193611
46	0.5665882168
47	0.5646199935
48	0.5626814399
49	0.5606156904
50	0.5591777436
51	0.5573682109
52	0.555614848
53	0.5539622377
54	0.5519227195
55	0.5502247306
56	0.5483975587
57	0.5466654252
58	0.5448652997
59	0.5434666436
60	0.5419941572
61	0.5406946179
62	0.5389083717
63	0.5368944814
64	0.5351202343
65	0.5335318455
66	0.5318948563
67	0.5305062812
68	0.5292296171
69	0.527658851
70	0.5266162625
71	0.5254109488
72	0.5243708566
73	0.5230817789
74	0.5216743319
75	0.5203320216
76	0.5188775439
77	0.5178377688
78	0.5168115168
79	0.5155733802
80	0.5146820025
81	0.5135809537
82	0.5123446743
83	0.5112103623
84	0.5103345938
85	0.5092821596
86	0.5079880821
87	0.5071682202
88	0.505710341
89	0.5047745963
90	0.5040126754
91	0.5032046004
92	0.5020279487
93	0.5008760429
94	0.4999565115
95	0.499172805
96	0.4980776791
97	0.4971508401
98	0.4960620066
99	0.4948349568
100	0.4936988517
101	0.4926604893
102	0.492029763
103	0.4914030319
104	0.4904358656
105	0.4893637549
106	0.488398111
107	0.4874587414
108	0.486804124
109	0.486022116
110	0.4853221137
111	0.4844240677
112	0.4833082802
113	0.4825265504
114	0.481965452
115	0.4810393448
116	0.4804880866
117	0.4798965974
118	0.479155897
119	0.4780815537
120	0.4773616722
121	0.4765329965
122	0.4757467255
123	0.4746837684
124	0.4739982812
125	0.4734363223
126	0.4728911985
127	0.4719879274
128	0.4709828325
129	0.4704096748
130	0.469470801
131	0.468641262
132	0.4680835413
133	0.467441839
134	0.4665064428
135	0.4654995365
136	0.4649272636
137	0.4635217685
138	0.4625904344
139	0.461990523
140	0.461221363
141	0.4605860521
142	0.4600542009
143	0.4591179153
144	0.4587064202
145	0.4581062688
146	0.457483047
147	0.4568770528
148	0.4558387123
149	0.4554351581
150	0.4544855402
151	0.4538675828
152	0.453047062
153	0.4524302225
154	0.4519595702
155	0.4511297701
156	0.4501820992
157	0.449556019
158	0.4485035507
159	0.4482267033
160	0.447894724
161	0.4473150345
162	0.4470602362
163	0.4463746787
164	0.4458949768
165	0.4451675475
166	0.4444459059
167	0.4440455973
168	0.4430987223
169	0.4425770721
170	0.4421571816
171	0.4413341129
172	0.44080902
173	0.4402104525
174	0.43949267
175	0.4388760762
176	0.4381804344
177	0.43748907
178	0.4369305476
179	0.4364077293
180	0.4354589137
181	0.4348270648
182	0.4340957881
183	0.4334890408
184	0.4328567152
185	0.4322849656
186	0.4317429908
187	0.4310657038
188	0.4306020872
189	0.4302341855
190	0.4295457351
191	0.4292132407
192	0.4287802245
193	0.4283508298
194	0.4279473971
195	0.4274331489
196	0.4267002423
197	0.4262950938
198	0.4259110537
199	0.4257586723
200	0.4252394497
201	0.4248296043
202	0.4245260944
203	0.4242659261
204	0.4237422647
205	0.423066638
206	0.4226269993
207	0.4222244408
208	0.4218956814
209	0.4214342338
210	0.420875126
211	0.4205751665
212	0.4199602142
213	0.4192245752
214	0.4187720622
215	0.4182934466
216	0.4179346129
217	0.4174016578
218	0.4168859953
219	0.416211944
220	0.4155017295
221	0.4151179743
222	0.4146738838
223	0.4143627422
224	0.4139031181
225	0.4138098884
226	0.4132981921
227	0.4126996969
228	0.4123725332
229	0.4118572695
230	0.4111577252
231	0.4106084742
232	0.4098960452
233	0.4094296214
234	0.4092560691
235	0.4088504302
236	0.4084305418
237	0.4082870129
238	0.4078538866
239	0.4075006031
240	0.407029026
241	0.4067050564
242	0.4062928873
243	0.4060187734
244	0.4058377356
245	0.4055258778
246	0.4052592818
247	0.4047564502
248	0.4043513606
249	0.4039062531
250	0.4032135673
251	0.4027704293
252	0.4020842769
253	0.4017772262
254	0.4015600745
255	0.4009768813
256	0.4006294566
257	0.4002536855
258	0.3999935607
259	0.3996308013
260	0.3994446126
261	0.3990634354
262	0.398662456
263	0.3981171611
264	0.3973198681
265	0.3967653579
266	0.3963032881
267	0.3957947481
268	0.3955061846
269	0.3949825127
270	0.3944031599
271	0.3940566765
272	0.3935154779
273	0.3931378368
274	0.3928237554
275	0.3923755366
276	0.3918736126
277	0.3915522255
278	0.3911034701
279	0.39072505
280	0.3904550018
281	0.3900574153
282	0.389774246
283	0.3895053479
284	0.3892500732
285	0.3888971461
286	0.388507601
287	0.3881850928
288	0.3878188602
289	0.3874909787
290	0.3870537141
291	0.38660556
292	0.3862991895
293	0.3859010502
294	0.3855488843
295	0.3851046088
296	0.3848088689
297	0.3845269268
298	0.3842170815
299	0.3837979288
300	0.383378558
301	0.3829871044
302	0.3826209369
303	0.3822494998
304	0.3819037748
305	0.3814637308
306	0.381303769
307	0.3810456081
308	0.3806103579
309	0.3803428105
310	0.3802297589
311	0.3798108359
312	0.3795519339
313	0.3791089222
314	0.3787730438
315	0.3784630373
316	0.3783679178
317	0.377921856
318	0.3776038917
319	0.377388352
320	0.3771488229
321	0.3766625115
322	0.3764086366
323	0.3760186657
324	0.3756133244
325	0.3754639462
326	0.3750983476
327	0.3746157699
328	0.3743018081
329	0.3739774874
330	0.3737200573
331	0.373392432
332	0.3732314619
333	0.3728355798
334	0.3725435663
335	0.3722153279
336	0.3718390062
337	0.3716704228
338	0.371331078
339	0.3711382964
340	0.3706947287
341	0.3703636425
342	0.3701334616
343	0.3699593951
344	0.3697798613
345	0.3693568219
346	0.3690525104
347	0.3686404477
348	0.368285335
349	0.3680142735
350	0.3677277168
351	0.3673668124
352	0.366964844
353	0.3667800943
354	0.3666513735
355	0.3662950466
356	0.3659510197
357	0.3654288719
358	0.3652556103
359	0.3649257346
360	0.3646546085
361	0.3643582871
362	0.3641046248
363	0.3635102849
364	0.3630759096
365	0.3627378126
366	0.3625130024
367	0.362190198
368	0.3617884443
369	0.361441421
370	0.3610842198
371	0.3608827281
372	0.3605555304
373	0.3601692254
374	0.359701705
375	0.3593861972
376	0.3590823844
377	0.358744914
378	0.3583728023
379	0.3579793518
380	0.3576519665
381	0.3574672537
382	0.3572528477
383	0.3568640866
384	0.3564757627
385	0.3563248262
386	0.3561420845
387	0.3560226348
388	0.3557719896
389	0.3555940945
390	0.3553686506
391	0.3550225385
392	0.3547796484
393	0.3544969262
394	0.3541008663
395	0.3539613095
396	0.3537731698
397	0.3535528212
398	0.3532034078
399	0.3529643152
400	0.3527152332
401	0.352625526
402	0.3523606071
403	0.3520350741
404	0.3518387827
405	0.3514337934
406	0.3510923295
407	0.3508467834
408	0.3504270135
409	0.3502345487
410	0.3500208238
411	0.3497561392
412	0.3495863144
413	0.3493310541
414	0.3490574303
415	0.3489249748
416	0.3486960668
417	0.3483656729
418	0.3478778273
419	0.347729072
420	0.3474480015
421	0.3471704243
422	0.346946401
423	0.3464487879
424	0.3463696821
425	0.3461453671
426	0.345864541
427	0.3456007221
428	0.345093239
429	0.3447891077
430	0.3446671405
431	0.3443832795
432	0.3440293347
433	0.3436480388
434	0.3431992069
435	0.342950724
436	0.342604398
437	0.3423714971
438	0.3419305112
439	0.3415744888
440	0.3413876349
441	0.3411814469
442	0.3409788302
443	0.3406473339
444	0.340441054
445	0.3402206648
446	0.3399775114
447	0.3399303851
448	0.3395983776
449	0.3392413575
450	0.3390008213
451	0.338789766
452	0.3386531898
453	0.3384835217
454	0.3382765878
455	0.3379603179
456	0.337512531
457	0.3373723241
458	0.3372094224
459	0.3368764324
460	0.3367192858
461	0.3363739309
462	0.3360152284
463	0.3358399588
464	0.335500686
465	0.3354148211
466	0.3350624615
467	0.3349605464
468	0.3347431805
469	0.3345784324
470	0.3341874806
471	0.3339459846
472	0.3338475236
473	0.3336092293
474	0.3335600603
475	0.3333818852
476	0.3332373699
477	0.3327458594
478	0.3325818741
479	0.3322170342
480	0.3320314002
481	0.3317205049
482	0.3314964322
483	0.3311594357
484	0.3310500282
485	0.3304937997
486	0.3301753781
487	0.3299623651
488	0.3296335564
489	0.3292557448
490	0.3290039835
491	0.3289472006
492	0.3287513239
493	0.3285818082
494	0.3285367427
495	0.3282477779
496	0.3279320198
497	0.3277439001
498	0.3276548247
499	0.3273965284
500	0.3271086964
501	0.3268346177
502	0.3264474314
503	0.3263011039
504	0.326138693
505	0.3258455774
506	0.325605679
507	0.3253857672
508	0.3250626438
509	0.3247354891
510	0.3244719445
511	0.3241086586
512	0.3238080035
513	0.323588041
514	0.3231837146
515	0.3229392986
516	0.3227981422
517	0.3225758842
518	0.3225031252
519	0.3221974702
520	0.3216619265
521	0.3212860825
522	0.3211085366
523	0.3207688221
524	0.3204752325
525	0.3203232721
526	0.3201812151
527	0.3199515509
528	0.3196357738
529	0.3192080174
530	0.3188702392
531	0.3184628191
532	0.3183597831
533	0.3182005232
534	0.3177422446
535	0.3175255427
536	0.3171068325
537	0.3167682151
538	0.3165699085
539	0.3162138062
540	0.3159479992
541	0.3157610041
542	0.3155096897
543	0.3152297113
544	0.3150447724
545	0.3147687439
546	0.3145249652
547	0.3144551715
548	0.3143427361
549	0.3141401839
550	0.3138626496
551	0.313789243
552	0.3136792407
553	0.3135288906
554	0.3134267435
555	0.313089389
556	0.3127924895
557	0.3126585318
558	0.3124198363
559	0.31222761
560	0.3119887061
561	0.3116654163
562	0.3116506698
563	0.3114219219
564	0.3113063417
565	0.3110554352
566	0.3108818053
567	0.3106689675
568	0.3105043096
569	0.3103009362
570	0.310180103
571	0.3099642168
572	0.3097384791
573	0.3095702593
574	0.3093272198
575	0.3089248615
576	0.3089054803
577	0.3087571336
578	0.3085822154
579	0.3083350945
580	0.3081021049
581	0.307926248
582	0.3075383654
583	0.3072161449
584	0.3069018036
585	0.3068578277
586	0.3066557061
587	0.3065466591
588	0.3063097993
589	0.3060110885
590	0.3056498405
591	0.305445654
592	0.3052948082
593	0.3051416805
594	0.3049227258
595	0.3044267366
596	0.3043095201
597	0.3041845705
598	0.3037241594
599	0.3034756163
600	0.3032662276
601	0.3030515743
602	0.3028279825
603	0.3026231404
